第1关：bird, fish, frog, duck  
第2关：wolf, hawk, swan, crow  
第3关：milk, salt, desk, lamp  
第4关：hand, neck, back, bell  
第5关：tent, belt, bank, tank  
第6关：sand, land, band, dust  
第7关：must, just, bump, jump  
第8关：camp, pink, gray, star  
第9关：snow, wind, many, long  
第10关：king, ring, wing, song  
第11关：apple, tiger, zebra, panda  
第12关：camel, horse, bread, peach  
第13关：grape, lemon, melon, sugar  
第14关：chair, table, phone, green  
第15关：white, seven, eight, mouth  
第16关：train, plane, stone, smoke  
第17关：smile, snake, fruit, beach  
第18关：flame, globe, spade, shade  
第19关：brain, chain, grain, crane  
第20关：plate, skate, space, trace
第21关：turtle, rabbit, kitten, puppy  
第22关：yellow, purple, circle, square  
第23关：cookie, banana, orange, carrot  
第24关：flower, river, cloud, grass  
第25关：bottle, pillow, window, candle  
第26关：sleep, throw, catch, climb  
第27关：bicycle, rocket, tractor, wagon  
第28关：dolphin, penguin, leopard, giraffe  
第29关：butterfly, elephant, umbrella, dinosaur  
第30关：rainbow, pumpkin, monster, treasure
第31关：crystal, jungle, pirate, rocket  
第32关：guitar, violin, tunnel, saddle  
第33关：blanket, compass, diamond, fortress  
第34关：whistle, sprinkle, twinkle, crumble  
第35关：dragonfly, grasshopper, caterpillar, ladybug  
第36关：volcano, tornado, hurricane, earthquake  
第37关：chocolate, vanilla, strawberry, caramel  
第38关：mystery, library, history, factory  
第39关：astronaut, telescope, satellite, universe  
第40关：rhinoceros, hippopotamus, crocodile, chimpanzee
